JDTDB, Calendar Date (TDB), EC, QR, IN, OM, W, Tp, N, MA, TA, A, AD, PR,
2458313.208333333, A.D. 2018-Jul-13 17:00:00.0000,  3.442330632005558E-01,  6.930145989595640E-01,  2.515525322081460E+01,  2.362379857609937E+02,  2.555046298581174E+02,  2.458158720864656E+06,  9.072245058955039E-01,  1.401548174375426E+02,  1.588085520245718E+02,  1.056800152721806E+00,  1.420585706484049E+00,  3.968146778008945E+02,
2458313.250000000, A.D. 2018-Jul-13 18:00:00.0000,  3.442330698110079E-01,  6.930145828620453E-01,  2.515525299761838E+01,  2.362379850296318E+02,  2.555046276320089E+02,  2.458158720862505E+06,  9.072245237874635E-01,  1.401926231753113E+02,  1.588296137765732E+02,  1.056800138827248E+00,  1.420585694792451E+00,  3.968146699750563E+02,
2458313.291666667, A.D. 2018-Jul-13 19:00:00.0000,  3.442330764144959E-01,  6.930145667807804E-01,  2.515525277476495E+01,  2.362379842988265E+02,  2.555046254061710E+02,  2.458158720860351E+06,  9.072245416619596E-01,  1.402304289140190E+02,  1.588506726937305E+02,  1.056800124946253E+00,  1.420585683111725E+00,  3.968146621568571E+02,
2458313.333333333, A.D. 2018-Jul-13 20:00:00.0000,  3.442330830110295E-01,  6.930145507157545E-01,  2.515525255225423E+01,  2.362379835685785E+02,  2.555046231806013E+02,  2.458158720858195E+06,  9.072245595190011E-01,  1.402682346536659E+02,  1.588717287793067E+02,  1.056800111078812E+00,  1.420585671441870E+00,  3.968146543462926E+02,
2458313.375000000, A.D. 2018-Jul-13 21:00:00.0000,  3.442330896006195E-01,  6.930145346669478E-01,  2.515525233008606E+01,  2.362379828388887E+02,  2.555046209552968E+02,  2.458158720856036E+06,  9.072245773586026E-01,  1.403060403942524E+02,  1.588927820365628E+02,  1.056800097224916E+00,  1.420585659782884E+00,  3.968146465433566E+02,
2458313.416666667, A.D. 2018-Jul-13 22:00:00.0000,  3.442330961832776E-01,  6.930145186343440E-01,  2.515525210826035E+01,  2.362379821097579E+02,  2.555046187302552E+02,  2.458158720853875E+06,  9.072245951807749E-01,  1.403438461357784E+02,  1.589138324687580E+02,  1.056800083384555E+00,  1.420585648134767E+00,  3.968146387480443E+02,
2458313.458333333, A.D. 2018-Jul-13 23:00:00.0000,  3.442331027590127E-01,  6.930145026179264E-01,  2.515525188677697E+01,  2.362379813811870E+02,  2.555046165054737E+02,  2.458158720851712E+06,  9.072246129855299E-01,  1.403816518782441E+02,  1.589348800791501E+02,  1.056800069557721E+00,  1.420585636497516E+00,  3.968146309603507E+02,
2458313.500000000, A.D. 2018-Jul-14 00:00:00.0000,  3.442331093278357E-01,  6.930144866176773E-01,  2.515525166563580E+01,  2.362379806531768E+02,  2.555046142809498E+02,  2.458158720849546E+06,  9.072246307728801E-01,  1.404194576216498E+02,  1.589559248709949E+02,  1.056800055744403E+00,  1.420585624871129E+00,  3.968146231802700E+02,
2458313.541666667, A.D. 2018-Jul-14 01:00:00.0000,  3.442331158897577E-01,  6.930144706335797E-01,  2.515525144483671E+01,  2.362379799257282E+02,  2.555046120566809E+02,  2.458158720847378E+06,  9.072246485428368E-01,  1.404572633659953E+02,  1.589769668475462E+02,  1.056800041944594E+00,  1.420585613255608E+00,  3.968146154077974E+02,
2458313.583333333, A.D. 2018-Jul-14 02:00:00.0000,  3.442331224447888E-01,  6.930144546656155E-01,  2.515525122437959E+01,  2.362379791988420E+02,  2.555046098326644E+02,  2.458158720845208E+06,  9.072246662954133E-01,  1.404950691112814E+02,  1.589980060120568E+02,  1.056800028158281E+00,  1.420585601650947E+00,  3.968146076429272E+02,
2458313.625000000, A.D. 2018-Jul-14 03:00:00.0000,  3.442331289929396E-01,  6.930144387137686E-01,  2.515525100426429E+01,  2.362379784725190E+02,  2.555046076088977E+02,  2.458158720843035E+06,  9.072246840306201E-01,  1.405328748575078E+02,  1.590190423677770E+02,  1.056800014385459E+00,  1.420585590057149E+00,  3.968145998856547E+02,
2458313.666666667, A.D. 2018-Jul-14 04:00:00.0000,  3.442331355342205E-01,  6.930144227780217E-01,  2.515525078449072E+01,  2.362379777467602E+02,  2.555046053853782E+02,  2.458158720840860E+06,  9.072247017484696E-01,  1.405706806046745E+02,  1.590400759179554E+02,  1.056800000626116E+00,  1.420585578474210E+00,  3.968145921359744E+02,
2458313.708333333, A.D. 2018-Jul-14 05:00:00.0000,  3.442331420686423E-01,  6.930144068583569E-01,  2.515525056505874E+01,  2.362379770215662E+02,  2.555046031621034E+02,  2.458158720838683E+06,  9.072247194489744E-01,  1.406084863527823E+02,  1.590611066658396E+02,  1.056799986880243E+00,  1.420585566902129E+00,  3.968145843938809E+02,
2458313.750000000, A.D. 2018-Jul-14 06:00:00.0000,  3.442331485962152E-01,  6.930143909547571E-01,  2.515525034596820E+01,  2.362379762969379E+02,  2.555046009390707E+02,  2.458158720836502E+06,  9.072247371321462E-01,  1.406462921018308E+02,  1.590821346146747E+02,  1.056799973147831E+00,  1.420585555340904E+00,  3.968145766593690E+02,
2458313.791666667, A.D. 2018-Jul-14 07:00:00.0000,  3.442331551169494E-01,  6.930143750672063E-01,  2.515525012721900E+01,  2.362379755728762E+02,  2.555045987162774E+02,  2.458158720834320E+06,  9.072247547979969E-01,  1.406840978518203E+02,  1.591031597677043E+02,  1.056799959428870E+00,  1.420585543790535E+00,  3.968145689324337E+02,
2458313.833333333, A.D. 2018-Jul-14 08:00:00.0000,  3.442331616308567E-01,  6.930143591956853E-01,  2.515524990881100E+01,  2.362379748493819E+02,  2.555045964937210E+02,  2.458158720832136E+06,  9.072247724465384E-01,  1.407219036027514E+02,  1.591241821281703E+02,  1.056799945723353E+00,  1.420585532251020E+00,  3.968145612130696E+02,
