Date                                    Time                                    RA                                      Dec
A.D. 2022-Jun-28 04:22:01.8300          2459758.681965625                       16.0 29.0 10.746671993306336            +11 49 52.00276135696163
A.D. 2022-Jun-28 04:33:44.0890          2459758.690093623                       16.0 29.0 10.365959443363408            +11 49 53.357117839860905
A.D. 2022-Jun-28 04:51:15.6120          2459758.702264028                       16.0 29.0 9.796208393308916             +11 49 55.37969611194518
A.D. 2022-Jul-08 04:20:38.1880          2459768.680997546                       16.0 23.0 39.89462578901566             +11 43 21.869291578515913
A.D. 2022-Jul-08 04:38:40.4260          2459768.693523449                       16.0 23.0 39.66585208037941             +11 43 18.964222242782512
A.D. 2022-Jul-08 04:39:51.8300          2459768.694349884                       16.0 23.0 39.65077516243127             +11 43 18.77235485950206
A.D. 2022-Jul-12 04:04:10.1640          2459772.669562083                       16.0 22.0 51.879977408741524            +11 23 24.387937731297505
A.D. 2022-Jul-12 04:16:40.8260          2459772.678250301                       16.0 22.0 51.830045710130435            +11 23 21.204172396402377
A.D. 2022-Jul-12 04:29:21.1890          2459772.687050798                       16.0 22.0 51.77971114901311             +11 23 17.976803220367877
A.D. 2022-Jul-14 04:31:37.7300          2459774.688631134                       16.0 22.0 46.68444526971598             +11 10 0.8610437467197918
A.D. 2022-Jul-14 04:41:39.0250          2459774.695590567                       16.0 22.0 46.68879979524036             +11 9 57.874264796846
A.D. 2022-Jul-14 04:52:23.9230          2459774.703054664                       16.0 22.0 46.69364041267045             +11 9 54.669272658487124
